insee,nom,code_arr,code_cant,code_dept,code_reg,code_regn
01001,L'Abergement-Clémenciat,012,0108,01,82,84
01002,L'Abergement-de-Varey,011,0101,01,82,84
01004,Ambérieu-en-Bugey,011,0101,01,82,84
01005,Ambérieux-en-Dombes,012,0122,01,82,84
01006,Ambléon,011,0104,01,82,84
01007,Ambronay,011,0101,01,82,84
01008,Ambutrix,011,0101,01,82,84
01009,Andert-et-Condon,011,0104,01,82,84
01010,Anglefort,011,0110,01,82,84
01011,Apremont,014,0114,01,82,84
01012,Aranc,011,0110,01,82,84
01013,Arandas,011,0101,01,82,84
01014,Arbent,014,0115,01,82,84
01015,Arbignieu,011,0104,01,82,84
01016,Arbigny,012,0117,01,82,84
01017,Argis,011,0101,01,82,84
01019,Armix,011,0110,01,82,84
01021,Ars-sur-Formans,012,0122,01,82,84
01022,Artemare,011,0110,01,82,84
01023,Asnières-sur-Saône,012,0117,01,82,84
01024,Attignat,012,0102,01,82,84
01025,Bâgé-la-Ville,012,0117,01,82,84
01026,Bâgé-le-Châtel,012,0117,01,82,84
01027,Balan,012,0112,01,82,84
01028,Baneins,012,0122,01,82,84
01029,Beaupont,012,0118,01,82,84
01030,Beauregard,012,0121,01,82,84
01031,Bellignat,014,0114,01,82,84
01032,Béligneux,012,0112,01,82,84
01033,Bellegarde-sur-Valserine,014,0103,01,82,84
01034,Belley,011,0104,01,82,84
01035,Belleydoux,014,0114,01,82,84
01036,Belmont-Luthézieu,011,0110,01,82,84
01037,Bénonces,011,0111,01,82,84
01038,Bény,012,0118,01,82,84
01039,Béon,011,0110,01,82,84
01040,Béréziat,012,0102,01,82,84
01041,Bettant,011,0101,01,82,84
01042,Bey,012,0123,01,82,84
01043,Beynost,012,0113,01,82,84
01044,Billiat,014,0103,01,82,84
01045,Birieux,012,0122,01,82,84
01046,Biziat,012,0123,01,82,84
01047,Blyes,011,0111,01,82,84
01049,La Boisse,012,0113,01,82,84
01050,Boissey,012,0117,01,82,84
01051,Bolozon,014,0116,01,82,84
01052,Bouligneux,012,0122,01,82,84
01053,Bourg-en-Bresse,012,0199,01,82,84
01054,Bourg-Saint-Christophe,012,0112,01,82,84
01056,Boyeux-Saint-Jérôme,014,0116,01,82,84
01057,Boz,012,0117,01,82,84
01058,Brégnier-Cordon,011,0104,01,82,84
01059,Brénaz,011,0110,01,82,84
01060,Brénod,014,0110,01,82,84
01061,Brens,011,0104,01,82,84
01062,Bressolles,012,0112,01,82,84
01063,Brion,014,0114,01,82,84
01064,Briord,011,0111,01,82,84
01065,Buellas,012,0102,01,82,84
01066,La Burbanche,011,0104,01,82,84
01067,Ceignes,014,0116,01,82,84
01068,Cerdon,014,0116,01,82,84
01069,Certines,012,0107,01,82,84
01071,Cessy,013,0109,01,82,84
01072,Ceyzériat,012,0107,01,82,84
01073,Ceyzérieu,011,0104,01,82,84
01074,Chalamont,012,0107,01,82,84
01075,Chaleins,012,0122,01,82,84
01076,Chaley,011,0110,01,82,84
01077,Challes-la-Montagne,014,0116,01,82,84
01078,Challex,013,0120,01,82,84
01079,Champagne-en-Valromey,011,0110,01,82,84
01080,Champdor,014,0110,01,82,84
01081,Champfromier,014,0103,01,82,84
01082,Chanay,011,0103,01,82,84
01083,Chaneins,012,0122,01,82,84
01084,Chanoz-Châtenay,012,0123,01,82,84
01085,La Chapelle-du-Châtelard,012,0108,01,82,84
01087,Charix,014,0114,01,82,84
